"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"KDM5C" 1182.99984 3770.03647 259.99997 1031.01605 82.99995 368.004372 181.00031 4364.22024 468.82329 500.00972 710.00536 235.00007 703.027725 670.00042 847.04574 267.00565 206.99969 554.00029 450.12151 367.00016 1061.01361 388.00019 1177.02995 620.99954 2837.10336 396.02664
"KDM5D" 5.00842 4172.15926 1 23 240.9997784 808.01695 4.000005 19.01638 3 2377.99837 14 2 869.9995 1471.4384 40.51478 881.01827 19.2549 413.65467 83.1415 41.49678 200.46453 41.1453 136.78251 86.04306 4544.5218 1196.20131
"KDM6A" 709.99997 1814.59178 571.99947 1001.99892 225 517.6354167003 1004.00024 2291.99622 492.000468 850.99956 5075.00469 1076.99965 1130.00023 1472.2507 2862.06706 1164.83618 947.03925 2739.08875 1223.41004 2625.00512 4125.0539 290.27259 4864.33055 3642.54377 3537.15481 1120.80241
"KDM6B" 377 475.00005 144 169 26 122.99982 43 977.421 62 144 294 91 227.99981 502.92317 203.123 42.7429 103.5 153.034 155.70516 310.573 591.894 215.391 469.60723 373.401 752.4569 213.08
"KDM7A" 1109.99935 804.00035 806 873.99966 137.9999 1038.99993 713 1177.99996 227.9996 1563.002 6704.0049 719.00018 2250.001 3517.4362 2794.80725 3519.0544 1388.41 2661.29085 1169.55867 2204.86518 7051.0532 179.23103 8406.387 4248.4542 9359.165 8101.291
"KDM8" 34.00005 211.99999 6.000002 32.99999 5 276.07562 4 108.08749 43.99997 16.00001 82.99994 7.999999 24.999998 24 18 4 4 7 13 1 6 11 9 5 196 27
"KDR" 2320.00437578288 4895.34575 242.0004 2651.13423 707.99993 1322.81148 1470 4298.106731 553.99984 270.99984 6.999999 481.00002 575.008 2056.11301 4045.01105 246.00317 1689.00099 2298.00218 1010.01168 7039.9984 1590.00044 1614.00957 671.07274 720.00494 2092.09 290.72041
"KDSR" 776.594278 3023.94299 1218.99924 1158.97388 571.017 1317.25823 1701.80884 3267.95392 402.37344 1665.31347 2440.20315 490.86728 838.3454 1724.99 1274.69 776.97406 122.907 728.32209 660.423 1605 952.947 72.0418 1167.45 671.997 889.4213 380.677
"KEAP1" 324.0005 1635.00207 76 311.07513 38 152.00363 85.999958 697 81.99992 82.99999 111.000134 47 158 279.00018463 203.99977755 165.9997116 72.99994861 140.99997339 218.99968085 163.9998528 231.000501 145.000295 205.00019468 156.999900014185 796.99951991 412.0000511
"KHDC4" 1024.63203 2021.89759 706.99946 1371.61719 374.99978 955.53294 776.16312 2288.45784 1099.26380012163 2517.99029 8446.16372142 1082.67241903933 1057.11672 2736.02287 1270.87322 1265.04091 727.021653499 1298.0033 1226.01874 1270.02860101439 1580.20861 398.99939 4062.86324 2124.01834 5172.5785 2010.20138
"KHDRBS1" 1596.9977 5842.9987 6717.0006 2704.00382 1299.99551 1004.9995 3100.9996 7442.0014 999.00037 3468.99693 3656.0003 2208.00013 3006.00413 2385.16967 4173.23526 4524.52256 1277.0011 3276.33173 1213.1874 5576.00695 10274.23551 275.00231 4484.43983 4611.12242 7460.9127 6481.2674
"KHDRBS2" 0 49.5207 18 1.09685 10 0 61 6.43144 3 17.5234 0 32.9751 6.48069 52.53805 67.16018 333.71011 4.00387 13.29076 8.02047 12.14494 75.44779 17.3725 99.46353 44.53523 130.32747 169.23032
"KHDRBS3" 146.9999629 1072.9998 754.99999 485.00033 281.000387 232.99980253 331.00001 419.99968 64.99998 503.00031 76.99995 33.00005 4521.00103 807.99992 509.9999 2232.9991 430 474.9999 403.9997 675 1281.00026 58 560.0004 96 620.00043 2207.99575
"KHK" 51.83647 132.5568 2.41237 16.00001 89.47704 829.635400301195 4.99999666 95.27846 13.84023 2 448.45241 0.999999662 27.5463065 25.99999 3.000000444629 0 0 89 301.9997 3 4 51.00005 6 57.99996 100.9999 5
"KHNYN" 1245.090082 2420.124 432.78372636 1198.778127 175.21289948 1211.350702 602.8772468 3961.183545 881.077306 2104.5748136 4669.6789755 727.4412997 790.2038033 746.68645 403.18597 263.96279 182.73823 481.72038 991.96968 554.985 678.7868 192.42156 4304.5075 1982.3189 5348.159 304.78015
"KHSRP" 1055.0047 4035.99951 1883 673.99974 227 445.00002 386 3695.99868 418 870 1033 445 1788.9987 481.95049 292.86235 211.951 87 145 207.99966 263.496 490.9775 350.99994 361.581 199.16469 2129.91581 533.58028
"KIAA0040" 2127.00157 1050.9998 59 1196.99733 367.0001 398.99998 1360.0039 2125.99791 300.9998353837 438.0001 825 780 369.99995803217 673.9997 256 38.99996 223.00007 520.00001 349.00001 1122 604.99967 135.00041 496 155.999784 6748.0027 1173.00079
"KIAA0100" 3035.56127647 24879.95777 758.0005499031 3097.08545 319.00029 2355.1546497 573.9999693 13584.12156 884.54009 1103.99983 1994.00049 339.00006 3717.00071 4695.0034 2823.99731498276 1735.99646 1125.00402 4237.99996 2295.99486 853.00003 2175.99951 662.0002 3013.99906 2213.99728 9774.99823 10467.99712
"KIAA0232" 933.999519222 5505.002 1246.000513264 4682.77716 774.00020178 1273.7000857542 1069.00129882 2584.0037 380.999769296 1589.0001171 3900.99571 765.000410799 2255.00289 2878.24994 3443.9143 2968.37012 2362.52019 2929.92198 1367.18006 1124.033 3116.44317 249.627828 2594.24151 6475.43263 2673.96276 2570.5285
"KIAA0319" 6.003363 85.02199055 883.010900041635 1.000769 2 1 26.00037 14.1929 76.00586078 82.0028 2 18.00002 110.2318 19.44542 17.16173 377.37168 1.04903 51.8643 180.41045 17.44908 45.37835 12 34 474.22503 12.73691 139.25003
"KIAA0319L" 1028.57058 4555.66807 419.4302 3017.623095508 266.49317 1610.23997917 454.99977 5002.81134 536.10764 682.9206519962 1631.15132 304.981449 1556.50502 393.00000426 137.00027 91.00003 54 245.9999 141.00017 127.9996 109.00004 233.0004 279.0003187 452.99964 879.00008 628.00032
"KIAA0355" 831.32083 1306.98212 244.08023663 502.26129 39.9856 215.14179 74.49538 2130.53122 134.09287 307.64221 462.13043 170.146843 790.10919 1340.997351 1217.00041 542.99963174013 474.99979 839.000300039295 279.9998519543 1298.99968 2267.00115 337.00033 1025.99979 491.99973 2019.00199 1859.00044
"KIAA0408" 234.25711 315.077 1765.9589 60.35442 40.055975 12.725998 949.41831 254.1191 36.72834 1518.8314 6.083961 89.570752 134.74394 960.687 285.3772 3058.623 22.4936 7.18778 2.30408 233.85328 68.33766 33.8266 197.5342 64.21006 76.4955 129.95039
"KIAA0513" 137.24683 1226.7511 227.02483 177.8001 34.000068 68.093847 149.0002 606.084 367.5651 311.17346 134.05 107.01847 226.46584 215.9998 418.000217 518.00052 14.999997 41.0000004785 30.00003534 198.00007 76 259.99987 181 16.999961178 858.99989 165.999597375
"KIAA0556" 206.07132 865.9775 34.000029 166.01619 7.000004 71.85131 19.999964 592.13036 103.03352 90.99997 122.00115 24.004478 597.91477 372.4898 224.6893 208.965020989757 63.915 187.235 179.82524 88.24234 199.10108 158.12127131083 412.944 283.0159 792.71111 1863.952
"KIAA0586" 340.96426062 1646.91076 641.07501 610.685990169248 134.28463062 422.69081 343.899711 1032.98171 168.98106 597.433378019213 723.54963 362.6911387 1821.98352 320.0003 634.00015 170.99967 81 237.000000045382 66 115 1167.0042 41 391 209 615.00008 8509.99916
"KIAA0753" 163.00048 1217.00002 181.99962 285.99961 123.99999 169.99973 258.00027 1126.99930001875 257.00041 596.99975 399.99999 357.99991 1151.00018 345.000529 81 309.00012 26.0000200242046 123.999923 58.99999 75.99998885 217.999956 54.99997 214.99986 161.00004 683.0002 2123.00108
"KIAA0895" 27.1292905 1333.010125 440.999998 134.0350080721 255.999830663989 192.856110388358 152.000421418 668.095410010918 213.999859 239.0002996 414.008534 25.00002 1503.0041197 109.00001 58.00005 131.00001 4.999999 28.99998 20.00005 67.99996 69.00002 19 75.99996 62 79.99999 2468.5624
"KIAA0895L" 335.7634151 720.93584 54.95504 254.618112196 23.666411 113.897846 29.04883 693.89077 202.84375 253.76106 133.543459 142.13502 282.51256 94.24649 19.1739 118.4118 17.2673 15.066 12.28329 25.0964 64.6818 29.0577 82.08843 41.40596 402.43471 702.979
"KIAA0930" 477.3810536705 4328.08584 809.0445 182.86179 73.3749 273.16343 226.3472 1422.9992 119.1861 471.9677 241.05 243.6958 483.98389 753.00028 537.00018 875.99988 301 630.99983 509.99999 493 1475.00464 139.0003 690 536 4407.99524 306.99973
"KIAA1109" 1920.00394 7332.99043 1059.00043 2389.00012 778.99955 1716.00003 1388.99583 6457.9939 817.99988 3636.0043 8926.99996 2350.00183 4165.99555 3453.95019 4326.834837 5351.67346 1513.48588 7194.45694 2795.69197 1830.11753 5581.28584 592.405643002273 5586.771693635 6945.24814 12724.34688 36782.391
"KIAA1143" 453.4984 2175.097 1885.4683 901.3777 192.09378 379.8966 770.5 1900.9232 199.7025 955.028 812.6992 352.37875 271.2082 461.0886 562.0016 596.0045 226.99991 494.3473 322.0042 1285.0008 712.115 75.0041 845.948 1199.3256 751.306 586.256
"KIAA1147" 77.7815 96.5005 99.1935 62.4156 37.4813 129.311 83.508 129.067 66.1924 67.1491 128.898 102.041 27.5028 809.9995 853 2369.99538 73 747.00025 466 940 1041.00007 244.99967 2647.00344 792 1606.99898 426.00002
"KIAA1191" 1260.59782 4881.00502 1418.4687 2669.67184 2410.97949 1222.998 1486.04677789604 8012.37643 665.357670020424 1832.17875 2549.16416 600.06692 582.604631 2882.81047 3072.95916 1575.94299 757.96859 13201.86257 1238.97151 1941.69268 1625.92639 572.52795 3154.95092 3173.94707 2205.6887 2068.20957
"KIAA1210" 2.0043 466.334 0 5.00814 3.00325 3.00842 0 78.2351 0 1.00147 11.0493 1.0019 5366.61 96 22.00003 31.00002 2 3 0 15.00001 8.00001 0 4 5 14.4523 14116.944
"KIAA1211" 1 163.99954 217.0001 3 4.99999878 7.000003 4.000000016 274.99997 5.999997 70.00004 1598.99695 0.999999812 1470.9998 172.43494 139.0064 872.56579 88.04783 17.283364 7.856447 171.00317 311.00324 6.05400832705 3844.31712 3891.27589 209.3814404 7869.8118
"KIAA1211L" 306 96 510 103 68 2 273 172.99999 85 157 315 45 207.99974 292.0008 8.999998 339.00038 0 1 2 51.99997 24.99998 265 201.99997 76.99998 19 41
"KIAA1217" 3075.99782272 3928.0043 130.99973 1936.00057 549.00035 1584.00107 1071.99943 3248.999746747 523.000380832974 1184.00067004584 2809.005 353.00002781261 2211.00298 2336.06487 837.46404 1786.342457532 862.05771 1014.7993 386.2449 1761.00107 1648.77403 551.08436 8157.67169 3181.13664 637.2337134154 2388.49853
"KIAA1324" 19.7260202 1114.3568 2762.91371 21.5786 3.01147 18.66512 204.9602 101.44875 1460.54631 213.35033 445.0216 25.7092 1499.34790007664 59 45 575 1 8 24 1425 90 540.0002 4247 554 210 4868
"KIAA1324L" 528.00009 708.000030500814 1264 239.999967 103.000073 28.99997 1497.0005583 610.27877 77.00007 392.00057 25.99997 243.9996714231 644.000097883 121 569.99994 2367.99844 1 9 11 501.99973 301.9998 56 171.99995 58.0001 66 131.00003
"KIAA1328" 265.352372 700.992645 256.62605 372.43334 73.50403 417.16667 176.70578 1510.64438 118.85385 369.02928 896.8957 235.35909 831.51872 691.0108 338.00017 397.00038 157.000120773903 435.99965 123.999988866 287.999508 1278.99965 58.99999 531.00249 330.0028 929.0299 8276.397303949
"KIAA1522" 158.000317 8674.00163 57.99999 113 136 114.00001 137 1615.003 731 183.0003 785.9993 7 162.99964 122.99961 35.000017 25.00002 9.999997 145.99981 164.99971 257.9998 110.00043 130.999802 745.0005 731.00036 55.00003 18.000046
"KIAA1549L" 10.0029 496.63241 1172.39 27.0074 32.0027 14.0341 5.00017 246.77151 34.0253 55.2134 14.0207 9.01791 168.19897 117.81832 1602.52785 3226.02453 0 17.0081 5.00499 20.0032 65.39763 2.00526 9.56912 4.02288 33.1072 75.6479
"KIAA1551" 1995.9959 2172.99697 250.99952 710.00054 303 2183.0009 2240.99469 7470.00384 343.99998 1846.004 12637.00088 4800.00019 696.00039 2810.2097 1809.7247 604.1151317 878.91837 2402.924546 614.06084 3818.58917 9558.04478 241.02430104985 4006.24924 3729.666 6483.06833 2129.04424
"KIAA1614" 75.58321 91.51213 61.015086 196.27345 22.0068 14.23641 42.42755 289.567 21.393836 134.008 55.21184 22.99999 50.38106 137.999639 56 19.000044 48.99998 207 1 37.00003 66 242.99958 13.999997 8 56.999895 27.999987
"KIAA1671" 506.0452 7803.60412 405.96528 651.3223 358.9143 2668.51262 441.0002 3268.34684 284.89714 626.83502 3903.7941 142.0003 836.4577 653.9352 226.022 278.3525 109.11517 274.8953 716.48201 278.12557 263.703 454.4278 1431.2225 943.3735 697.1812 179.76093
"KIAA1755" 43.99999 46.01513 15 71.38024 4 22.1242 5.000001 560.6068 5.014837 69.00002 0 10 44.024 56.8225 6.12972 4.06577 2 4.00289738544 3.23928 5.65513 13.96231 27.00001 16.2192 8.01058 26.0664 30.38596
"KIAA1841" 194.8429561 259.01027 570.688673554 503.403300010638 43.192674933241 107.07690299541 319.25648 368.26832 111.7364137878 341.36059 1055.01890005171 139.1954095071 333.44301 1171.9997 1292.9996 2367.99714 387.00033009863 1168.000521 749.00015 1098.0000915779 1854.997 80.0000102759 1371.0003 637.9994 632.99915 7434.99534
"KIAA1958" 101.41794 2572.224 822.12434 186.00625 237 292.52169 224.02606 1465.383 89.4681 137.42554 636.96348 62.0831 1036.9224 234.12378 333.9268 170.0443 63.34455 369.6671 101.49866 103.902 415.07305 44.91113 154.7002 107.5007 487.7495 442.1089
"KIAA2012" 31.6932 98.62096 17.1291415 33.5723 10.51658 90.0888 29.02701 103.29942 21.0044 33.4049 80.4832 36.8911 245.9952 87.99995 91.00009 69.0000452 4 7.000004 2 101.99995 100.99985 3 18 10.999999 7 3654.00684
"KIAA2013" 303.2811 1126.0025 315 532.0122 146.99993 312 227 1039.4519 173.27105 253 1093.015 198.0505 445.99996 207 175 59 71 180 84 250 233 113 396 285 639 261
"KIAA2026" 858.17554 2752.26701 1101.53887 1243.7261 256.10014 531.3483 452.02459 2272.57805 305.33321 1285.4807 2372.0118 721.25279 1686.7902 1900.0006 1714.9972 1986 635.9997 2078.002 1266.9994 729 3786.9982 275.0002 3371.9956 3434.9966 2533.0013 9298.9993
"KIDINS220" 1499.83163181892 7320.41903 3578.99576 4541.26062 827.05542 1467.46137 1623.99939 7502.62611 662.13962 3422.57098 4097.48614 1252.7266 2025.41495 2783.00191 4149.9993 5084.0026 1167.99606 7755.99878 1169.99676 1623.99682 3329.99607 553.00006 4413.99572 2571.00109 5722.99527 2124.9971
"KIF11" 96.0902 362.627 1406 53.6514 26 62.3608 132.307 201.583 22.0465 167.078 162.043 233 886.123 100.99478 125.581306 42.02204 7.00094 27.5004 18.56443 52.5 1095.07389 5.142262 561.65509 783.07278 808.205 2804.1172
"KIF13A" 990.43467 3120.72564 317.99982 3327.00872 309.99994 710.2335 884.00074 4022.09102 286.00023 2327.00446 3455.99901 346.7615 925.028535351 656.99964 383.00073 220.99997 623.00005 289.00006 206.00026 1110.99981 477.99921 213.00045 1213.99979 592.99957 655.0006 168.99997
"KIF13B" 468.00016 3189.0039 964.0004 408 335 550.99959 220 2453.99662 234.99966 612 2535.00514 288 1085.9996 600.51999 729.26468 328.42364 95.00115 517.02568 528.51321 450.00024 585.0749 238.05221 2098.38321 631.15999 1616.2911 620.4034
"KIF14" 20.0023 80.0814 376.34 2.01049 0 16.0637 31.0573 42.1359 12.0035 32.0285 35.1281 38.0395 200.5965 42.9194 47.53251 26.57886 8.35603 15.1991846 33.09002 19.00573 397.61942 8.3322400208724 150.4873 114.62999 381.7042 777.44573
"KIF15" 14.000011784 50.99997 378.4995719 10.999990496 1 4.0000005344 23.499991053 15.00004 3.999997 37.500005709 19.500021303 31.5 296.500202 93.853616071 64.36663 83.69623 9.6401312 16.24035 20.666119 104.02847 1014.362148315 16.85353 555.3359 756.44858 753.42295 5766.895
"KIF16B" 371.99962 13819.025 97.000028 648.9999 312.999837426 420.00025 513.0003 1187.9983000593 138.99997 823.99951 2479.9988 260.00045 368.00019 1875.1708 930.0233 258.00504 738.9952 1761.8225 428.9265 934.9739087661 1310.0317 143.0004714 1479.367 886.278 1082.4223 2250.05732
"KIF17" 56.00001 440.99997 1.957393 15 0 2.000005 2.000001 36.000038569 3.0363184 0 4.28401 1.93846 145.0089 17.00702 5.0028 9.0246 1 2.00088 0 1.0017 4 8 2.00383 2.0037 19.0191 630.0248
"KIF18A" 12.99997 49 126.9996 13.21339 9 4 76 33.00003 5 47 26.00003 58.99997 460.00719 115.32764 96.41615 73.27971 35.01423857 70.00185 44.9351 178.54063 626.333859 15.1037 324.37938 357.45882 437.764 3643.26028
"KIF18B" 12.16774 58.35971 37.1794 19.19 4 5.17502 5.00383 37.4851 5.12858 16.114 12.0943 7.11482 34.1546 5 2 0 1 0 0 0 26 2 11 20 137 251
"KIF19" 29.00085 12.0715 8 7 2 4.14939 1 13.18143 6.00103 6.00867 2.06142 5.02923 9.00525 3.000002 0 2 1 0 1 3 1 16.9999957728 4 2 40.99998 20.9999633
"KIF1A" 0 2216.01048 841.00011439203 12.0528187 0 3.19326 0 54.09861 136.177190029681 47.059585 4.00374 2.00551 171.00420451 40.71754 327.34866 2771.59371 0 2.10066 4.45424 10.1561 41.43596 205.89197 60.972 5.52348 41.5859 125.52576
"KIF1B" 833.99654730714 8653.92807 7203.42234 4521.4532 506.66387043 1741.3447102626 612.83840169702 4822.5397 564.91582746 2128.200447 3986.59285038562 639.248766291 3991.01488114577 4414.12096 8987.447 13269.84879 4606.84423 3100.98899 4384.76562 3214.46172 5727.49216 723.50978901072 4594.10905 3358.48003 3353.19624 3284.94218
"KIF1BP" 646.981 3234.25629 1583.9973 2963.06313 474.02284 347.048249036005 861.01152 2402.6502422 255.99969 1120.01165 1400.11218 432.01843 1063.06907 802.09508 775.18754 2121.101038 297.000431 747.11405 236.03485 783.26617 577.0833 95.00002 486.40369 284.06577 881.53424 2050.22079
"KIF1C" 3473.5531 3486.4698 113.18366 13756.683 149.005 1047.7391 238.324 4291.759 448.4362 723.67597 1042.43 160.375 912.2343 1328.6885044885 1438.00404315193 274.0000124573 1316.4267517888 838.4790016588 1120.08330110406 1180.68163247634 597.0656530962 461.057912719 1465.83473238711 883.339370434059 1525.5760799189 218.70410324181
"KIF20A" 17.000008745 142.99979 260.00000886223 5.9999942702 5.999996 4 49.99998273 199.999594 3 25.9999700314876 16.99996 20.00002 832.00301209053 86.2749 72.8441 30.49697 7.08429 20.00998 13.463 24.63054 278.87796 6 119.08191 109.2101 563.74842 2924.74047
"KIF20B" 168.3614 411.48 124 112.6472 35.42072 86.5662250951 214.9997 303.6705 59.3721 283.4445 544.3594 311.00023 250.94967 235.00009 244.00022 36.000044 22.99996 170.999477 13 96.99996 1315.99992 14 880.99995 1013.99915 1259.99982 5211.00576
"KIF21A" 313.99982 3737.00456 985.99969 2427.00023 670.0005153547 1205.99964 264.9998035959 928.99968379 523.000110039719 859.99972 2477.99766 430.000330401 678.0004 838.0005 723.000059 3728.008544468 371.999700037754 2367.0009191 1011.99953156968 954.00000239225 1009.00061004965 296.9997 2016.99490575306 488.000150232 159.999960694081 1623.00030011515
"KIF21B" 187.99981 118.03161 110 20.18689 0 32.51469 11 122.09756 14 100 26.5325 100 409.70296 57.0000000217439 17 108.999620575437 4.0000000166428 2 9 31 12.0000000259865 57.0000334698 143.00000001626 123 6586.00377 200.000180497179
"KIF22" 150.00003 344.49428 51.00003 105 18 59.19498917 46.00002 363.00006 87.00005 379.00003236 103.999997 130.0003 479.00044 42.99999 12 32 4 16 6 14 84 9 77 45 630.00025 388.0002
"KIF23" 37.14146 239.163568 532.00098 22.0173871 73.99998 26.99843 92.99994 201.74343 44.00004 110.000036 55.83564 94 1058.4878 122.60985 107.00015 32.57551 16 65.54836 26.35091 111.01438 1020.27607 10.64314 606.91384 811.99788 1278.86867 2600.59283
"KIF24" 16 451.57 289 52.0137 15 11.0054 16.99998 147.0559 11 25.1544 29.0790454 3.03703 1819.73 66.5003191 34.5392737 15.52532 2 32.25502 19.37168 13.44612 134.62971 5.66986 79.84925 63.96824 226.67217 1601.46872
"KIF26A" 53 108 73 39 11 6 8 55 33 26 0 26 22 37 32 14 22 12 5 113 98 33 47 3 29 12
"KIF26B" 12 611.671 1002.9996 69 23 7 16 47.813 5 27.5894 7 6 86.42038 88 34 203.00048 24 92 17 233.9997 230 19 49 20 57 59.00005
"KIF27" 131.2676 295.13878 182.2199 151.4197 83.93599 152.73216 274.0606 437.421 103.45768 248.76937 410.79491 237.59048 1245.1145 272.99981 58.00001 71 6 75 5 96 127.0004 12 137.000000394886 100 20 17958.031
"KIF2A" 393.000030030217 1797.93997 1339.99826 196.99987 155.00045 138.00037044388 412.00033 1087.80932 138.9999 467.99959 1246.00007 361.00008 3273.97324 1655.87502 1904.9616 3716.61426 604.42162 1037.8791 518.908 1815.02969 2954.0383 129.51369 3208.64355 3461.48185 2544.5056 23030.98381
"KIF2C" 24.999972 79.99996 460.0002 27.000048 2.999997 6.999999 12 85.9999996351 6.000005 33.000025 11 16.99999 2855.99688 177.56841 30.2689 7.17228 8.1105 12.16096 15.0195 5 238.13419 0 61.41245 56.06053 239.53722 7168.52339
"KIF3A" 166.1809 2474.292 1472.99557 787.44892 319.0004 86.47478 535.96236 838.09578 192.6454 700.74801 332.58750191344 310.64586 1354.23811 499.55075 657.01731 1663.64795 105 365.00045 86.24302 251.99951 874.16212 113.4497 269.042 90 289.21229 4263.90399
"KIF3B" 702.157 9578.48 1231.28 635.438 916 1008.38 544 3645.46 870.852 867.6 3014.14 364.575 3118.07 895 860 998 101 786 265 369 824 117 1153 468 2086 8290
"KIF3C" 127.00045 1252.99557 1012 45 20 16 29 979.99994 24 217 3 34 121 438.99968 703.00035 1743.0036 126 333.0001 148.99984 282.00048 481.99974 74.99996 343.99974 132.0001 1115.0003 737.99969
"KIF4A" 13 66 594.99802 2 4 2 21 83 8 28 29 76 120.378 38 56 25 1 7.000004 6 32 715.03657 1 229.57498 259 527.702391 522.343308
"KIF5A" 9 1155 2642 7 8 1 2 46 31 392 4 1 334.99972 59.00004 80.00002 19603.04149 4 7 7 3 14 20.99999 125.99989 59.00002 175.0003 113.0003
"KIF5B" 2777 15573.03529 6625.99605 8395 1787 1487 5103 5244.00207 1438 8649.00256 12570 2510 3947.99743 5046.7119 20707.52569 11744.78502 3854.49065 8071.72884 1663.2954 9191.26643 12642.42858 545.0869 11567.87597 9896.80068 7545.647 5194.95871
"KIF5C" 28.228400499194 5375.760563 9201.686539 41.3276 48.0116 18.801096 22.01614 450.473182 148.406184 519.497892 35.38338 137.548 3328.4725 242 618 22173.99703 33 112 5 26 588 58 440 135 52.000039 861.99967
"KIF6" 10.82044 101.53249 48.012530105319 32.74354454 17.055578 31.43502 89.34073 90.53857 22.27689 27.1116 29.1167000376445 11.618285 378.28046 39.00003 3 16 14 5.000001 0 6.999998 25.00003 0 1 1 3.999999 322.00002
"KIF7" 71.764 206.61785 2 31 6 3 4 136.892 13 44 0 11 17 28.000050307578 26.000020137815 9.999990964739 5.000000391455 19.999980594016 5.0000000174091 56 88.00000397086 11 12.0000000486919 10.0000000134437 44.0000241697 68.00000352942
"KIF9" 34 279.01655 53.00002 152.99993 114.0000205108 58.00003 100.000070059705 162.99998 80.00009 113.00003 49.99998 37.00005 1557.99968 250.00004 19 65.00003 3 46.99996 18.00002 118.99974 85.00001 13 51.00003 18.00004 313.00042 10218.00289
"KIFAP3" 400.00001 4021.99902 3527.999 3044.99322 802 401 1189.99976 1930.00094 312 1249.00008 1897.99681 372.99971 2057.99704 1342 1186.9974 10066 594.000000224455 1743.001 307 1488.9997 2225.0034 74.00000285007 1021 449 507.9997 25012.959
"KIFC2" 52.76294 96.91278 0 5 0 3 0 5 8.26477 0 1 0 10.2491 70.01843 13 522.999729 13.99996398 18 27.99996 15.9999881192 4.0000014982 277.9999170618 50.99999744 32 171.2042499 46.16272
"KIFC3" 135.78194 693.00144 18.40933 221.1647 20.412287 127.672638 13.0361267 250.70728 156.376273 41.30721 475.10446 19.4777 249.04847 21.88022 39.7854 0.633337 11.30805 32.89655 22.00559 12.8017 18.8357 121.74153 6.54279 21.1646788 37.0241522 33.690595
"KIN" 246.38979 772.15081 143.6212 359.93315 157.38219 558.32604 516.13598 560.14574 200.47373 529.09271 1148.1261 299.03144 309.37432 393.0005 232.00028 166.99985 91.00002 231.99972 320.9998 359.99951 322.99965 108.99998 490.0005 363.9996 957.9992 245.9999
"KIRREL1" 1730.9973 2482 82 803.999500118523 388.0002752902 170.0003129763 297 6621.003 245.9997043 1068.99700284255 13 341 595.0001 798.99993311 368 56.9999733 71.0000232 210.9998238 21.00000995 234.999916 505.99986 143.999717 185.0002 68.99996206 1227 143.99996
"KIRREL3" 10.114402 119.03514 27.00004 13.06721 1.00053 7.10365 1.00195 31.12293 3.005332 20.03647 0 7 9.0508200250589 240.00049 3 119.00004 1 2.000003 2 3.00000153695 12.0000026832 10 28.00002 9.00000109036 23.999951857 16
"KIT" 130.99998 85.00004 2068.999 93.00003 378.99975 19 996.0004 2154.0033 90 1313.0031 136.00012 104 611.99972 468.0005 117.999842 560.999954843 28.999986347 448.99960876 110.0000204 2533.994851 2173.003072 123.00007 2048.0014 264.9996358 1828.0005 1106.99974
"KITLG" 411.0005 695.9999 2604.995 540.99989 1338.9955 79 2845.9973 954.000421 232.9999 4667.001 2567.00264 165.9999363 843.999252103 1764.00192 4872.0037 3734.99645 2900.00267 2514.9975 181 19327.95451 11735.97082 312.99984 12315.96537 7388.99989 3465.00012 3332.99827
"KIZ" 319.00006 585.00026 382.00001 743.9997 232.000267 340.99995 498.999900048625 1813.00073 388.0006 2385.00339 1752.00422 315.99947 880.0001 1294.99806 923.99923 333.9997 811.0002 1052.99976 486.99993 865.0002 1107.99644 129.99996 881.00051 229.00043 560 14986.9547
"KL" 254.0003 323.0005 15 54 2455.0037 12 303.99976 138.9996 49 223.00021 177.00023 75.00002 115.00039 146.6396 13.39479 387.0037 6.18881 15892.671 17.40312 13.12037 80.37916 39.90934 51.8902 35.0533 98.21533 143.4186
"KLB" 768.812 33.9114 21 8.71771 20 2574.8 83 25.0314 115.028 15.1173 162.964 6.00245 405.462 387.00006 125.00011 7 2 5 494.0002 13 10 33 241.99979 17 7 62.99998
"KLC2" 150.00006 1042.99946 3 106.000010645096 1 6 0 304.00041 33.000029 25.99997 2 3 177.99994 51.000000142143 14 42.99998118543 16.00003 14 10.0000000109066 7 26.000041 64.9999150313 14 1 223.0002 168.99992709
"KLC4" 184.56089 696.0492 5 311.88584 12.000003 633.80160335 14.000005 486.79748 116.314848446533 131.04608 634.00178 26 220.99992 10 4.00000315 0.99999953 1.00000009 7.9999972 28 2 2.00000274 71 19.99995 13 217.9996 15
"KLF10" 2515.0017 5409.997 1130 732.9995 587.99967 623.99989 2481.00266 4619.996 722.00015 2311.9952 1003.9996 1391.0018 1877.999 617.78495 711.4481 694.10275 189.40495 570.73122 387.54284 2293.82813 1424.19003 218.2805 2003.52037 1288.24155 786.20456 905.97354
"KLF11" 1093.99642 2119.9974 456 837.00005 449 493.00022 1041 3060.0026 332.00032 1177 432.9996 531 1515.0016 323.327 311 119.596 140 368 293.909 1008 1464.99 96 292.025 211 649.88 295.757
