"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"ABCC9" 1445.11359 1049.30927 212.28823 5295.0992 179.721 3704.08274 946.1161 2411.9778 340.518 1342.0716 304.394 309.199 410.48848 1196.8416 1345.6075 184.356 5371.32801002032 623.1048 759.977500332193 483.254 1910.64 143.536 1528.61500254046 598.7737233 1336.7095043787 223.762
"ABCD1" 136.99976 2016.0042 0 22.00002 0 9 0 63.99997 6 7 10 0 32.00001 142.9997 50.8997 33.4259 21.86173 32.18387 121.0742 33.16099 42.8117 173.0001 114.6153 221.193 1643.519 158.0765
"ABCD2" 694 190 78 358 16 2 57 62 1 88 17 47 14 9212.0586 971.08481 1660.49117 122.3746 30.01279 2916.25786 1233.89814 1504.89218 70.524725 294.841 187.04122 439.74156 394.06902
"ABCD3" 714.00346 6214.00073 835.00039 2911.00207 1874.00285 4679.00514 2391.00314 1065.28355 926.00714 2185.99752 13784.74646 744.00001 1203.73066 3802.67279 5004.31253 2350.15439 2644.2458 18313.71541 28198.10021009 4713 3942.38807 301.00659 8010.2444 16413.2248 1503.6325 2530.68185
"ABCD4" 468.67794006 836.72911 71.04206 522.800420024351 117.226099969208 382.60386 132.1015711 1139.05184 309.72163 475.063298 738.06876 253.001048 331.21702978 89.70913 44.31128 72.28447 23.34041 71.770103 41.39009 41.9504 43.01222 56.5025296759 119.57626 71.70683 503.84464 53.2469
"ABCE1" 1026.00916 6458.40445 782.00045 1920.02638 578.9857 1354.39639 1720.00317 1965.06252 926.00501 1579.65528 1833.37428 1658.99638 1541.393 3823.49729 7140.15494 4534.05552 2026.00038 5656.30471 4055.011 4073.03356 9317.02588 547.2748 5368.17114 4496.02426 7724.90098 11152.19744
"ABCF1" 157.411513 1978.95287 183.1468 391.429799 61.492621 370.17074 121.917720504073 267.54979 205.71575 350.824600350927 310.027965 67.11311 873.771390064 611.88679 316.99955 191.9998 99.9999 294.00029 269.9997 118.00006 346.99981 411.99955 330.97422 215.9995 2627.00314 1722.98228
"ABCF3" 494.99981 9488.99699 35.00007 757.9991 40.440720271641 334.00011 63.000029 1263.000303 302.99988 243.00013325 454.9998 69.99999 419.4303 380.99952 192.00005 176.00005 42.00002 194.99989 236.99947 162.99989 119.99958 199.00022856 154.999942 106.000022 1499.995766103 909.0002
"ABCG1" 248.5114 2676.36534 221 518.88685 54.0000185458 65.60399 821.99958 577.65675 58.73621 180.959 783.2134 277.976145 65.70022 345.18597 141.16592 562.26911 17.008 115.0428 93.70146 1356.62563 249.23011 107.0511 127.16629 60.06743 2020.6869 63.7587
"ABCG2" 123.9996 382.2754 689.99986 136.0002375 82.99995 654.00041 264.99966 1198.07864 14 262 10728.9708 32.0034 257.9996 99 47 17.00001 6 18 128 333.0002 106 20 322 663 7368 74
